Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
HIF1A,GSTM5,1088,1046,0.99,1
HIF1A,Gsk3b,1088,1060,0.99,1
HIF1A,HSPA4L,1088,1126,1.0,1
HIF1A,HHIP,1088,1087,1.0,1
HIF1A,"ARG5,6",1088,126,0.98,1
HIF1A,HDA3,1088,1078,0.99,1
HIF1A,GSTM3,1088,1045,0.99,1
HIF1A,ARFIP1,1088,124,0.98,1
HIF1A,ALDH1A3,1088,80,0.98,1
HIF1A,HSP90AA1,1088,1120,1.0,1
HIF1A,ARHGAP10,1088,127,0.98,1
HIF1A,Gfap,1088,1057,0.99,1
HIF1A,H2-Aa,1088,1062,0.99,1
HIF1A,Gm4779,1088,1058,0.99,1
HIF1A,AKT1S1,1088,77,0.98,1
HIF1A,GSN,1088,1042,1.0,1
HIF1A,HAUS5,1088,1071,0.99,1
HIF1A,HSPA5,1088,1127,1.0,1
HIF1A,GSTA1,1088,1043,1.0,1
HIF1A,Gm8129,1088,1059,0.99,1
HIF1A,HAP1,1088,1066,1.0,1
HIF1A,ARHGDIB,1088,131,0.98,1
HIF1A,HAUS8,1088,1074,0.99,1
HIF1A,GRXCR1,1088,1039,1.0,1
HIF1A,GUCY2F,1088,1055,0.99,1
HIF1A,HAVCR1,1088,1075,0.99,1
HIF1A,GSF2,1088,1040,1.0,1
HIF1A,HSPA12B,1088,1124,1.0,1
HIF1A,HAUS4,1088,1070,0.99,1
HIF1A,HSP90AB1,1088,1122,1.0,1
HIF1A,APOO,1088,117,0.98,1
HIF1A,HAL,1088,1065,0.99,1
HIF1A,HSP90AA5P,1088,1121,1.0,1
HIF1A,HTT,1088,1133,1.0,1
HIF1A,HSPA1L,1088,1125,1.0,1
HIF1A,ARF5,1088,122,0.98,1
HIF1A,H2afj,1088,1064,0.99,1
HIF1A,H2AFJ,1088,1063,0.99,1
HIF1A,GUCY2D,1088,1054,0.99,1
HIF1A,ARG1,1088,125,0.98,1
HIF1A,ALAS2,1088,78,0.98,1
HIF1A,GUCA1A,1088,1050,0.99,1
HIF1A,GYPA,1088,1056,0.99,1
HIF1A,HAUS7,1088,1073,0.99,1
HIF1A,GTT1,1088,1049,0.99,1
HIF1A,HAUS6,1088,1072,0.99,1
HIF1A,GTF2E1,1088,1047,0.99,1
HIF1A,ALDH1A1,1088,79,0.98,1
HIF1A,HIPK1,1088,1089,1.0,1
HIF1A,ARAF,1088,119,0.98,1
HIF1A,APOL1,1088,116,0.98,1
HIF1A,ARHGAP27,1088,128,0.98,1
HIF1A,Gtf2e2,1088,1061,0.99,1
HIF1A,HSPBP1,1088,1130,1.0,1
HIF1A,HCST,1088,1077,0.99,1
HIF1A,HSPB11,1088,1129,1.0,1
HIF1A,HAUS1,1088,1067,1.0,1
HIF1A,HDDC3,1088,1080,1.0,1
PROM1,HUWE1,1836,1134,0.99,1
PROM1,HSPA8,1836,1128,0.99,1
PROM1,HDAC6,1836,1079,0.98,1
PROM1,HSPA4L,1836,1126,0.99,1
PROM1,HSPA5,1836,1127,0.99,1
PROM1,HSPA12B,1836,1124,0.99,1
PROM1,HTT,1836,1133,0.99,1
PROM1,HSPA1L,1836,1125,0.99,1
PROM1,HSPBP1,1836,1130,0.99,1
PROM1,HSPB11,1836,1129,0.99,1
PROM1,HDDC3,1836,1080,0.98,1
PPID,HUWE1,1800,1134,1.0,1
PPID,HSP90B1,1800,1123,1.0,1
PPID,HSPA8,1800,1128,1.0,1
PPID,HSPA4L,1800,1126,1.0,1
PPID,HSP90AA1,1800,1120,1.0,1
PPID,HSPA5,1800,1127,1.0,1
PPID,HSPA12B,1800,1124,1.0,1
PPID,HSP90AB1,1800,1122,1.0,1
PPID,HTR6,1800,1131,0.98,1
PPID,HTRA2,1800,1132,0.98,1
PPID,HSP90AA5P,1800,1121,1.0,1
PPID,HTT,1800,1133,1.0,1
PPID,HSPA1L,1800,1125,1.0,1
PPID,HSPBP1,1800,1130,1.0,1
PPID,HSPB11,1800,1129,1.0,1
HIPK1,GTF2H1,1089,1048,0.99,1
HIPK1,APP,1089,118,0.98,1
HIPK1,HUWE1,1089,1134,1.0,1
HIPK1,HSP90B1,1089,1123,1.0,1
HIPK1,ARF4,1089,121,0.98,1
HIPK1,ARHGAP5,1089,130,0.98,1
HIPK1,AKT1,1089,76,0.98,1
HIPK1,GSTA2,1089,1044,1.0,1
HIPK1,HSPA8,1089,1128,1.0,1
HIPK1,ARFGEF2,1089,123,0.98,1
HIPK1,GUCA1C,1089,1052,0.99,1
HIPK1,HDAC6,1089,1079,1.0,1
HIPK1,ARHGAP35,1089,129,0.98,1
HIPK1,HAUS3,1089,1069,0.99,1
HIPK1,GUCA1B,1089,1051,0.99,1
HIPK1,HAUS2,1089,1068,0.99,1
HIPK1,GUCA2B,1089,1053,0.99,1
HIPK1,GSK3B,1089,1041,1.0,1
