,Gene,Known PPIs,Novel PPIs,Novel Interactors
179,RAB11A,3,0,
180,SYNE2,2,0,
181,ONECUT2,0,0,
184,TULP4,0,0,
186,TACR3,0,0,
188,GNGT1,0,0,
189,GAS8,0,0,
190,DYNC2H1,0,0,
192,STRC,0,0,
193,IFT140,0,0,
195,USH1G,0,0,
196,TULP3,1,0,
197,TTLL11,0,0,
198,SORD,0,0,
199,ROM1,0,0,
200,DNAH6,0,0,
201,NEDD1,2,0,
202,PIN1,6,0,
