,Gene,Known PPIs,Novel PPIs,Novel Interactors
59,PSEN1,7,17,"CTNNB1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L"
79,HAP1,1,17,"HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT, HUWE1, HYAL3, HYDIN, HYLS1"
29,PRPH2,0,16,"HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L"
203,CEP290,2,12,"HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11"
65,PAFAH1B1,5,11,"HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L, YWHAE, YWHAG, YWHAQ"
19,VHL,8,9,"HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSPA4L, HSPA8, HSPB11"
10,PARD3,11,8,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, YWHAE, YWHAG, YWHAQ"
133,PCM1,8,8,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, YWHAE, YWHAG, YWHAQ"
178,GRXCR1,0,8,"AKAP9, AKT1, APP, CSNK1A1, CSNK1E, CSNK1G1, CTNNB1, GSK3B"
51,HIPK1,0,7,"HDAC6, HHIP, HIF1A, HSP90AA1, HSP90AB1, HSPA8, HTT"
53,PRKAR2B,4,7,"PRKACA, PRKACB, PRKACG, PRKAR1A, PRKAR1B, PRKAR2A, PRKCA"
97,ANXA1,6,6,"HSP90AA1, HSP90AB1, HSPA8, PRKACA, PRKACB, PRKACG"
39,TUBB2B,4,4,"HDAC6, HSP90AB1, HSPA8, HTT"
74,TUBGCP2,2,4,"HDAC6, HSP90AB1, HSPA8, HTT"
82,TUBA1A,12,4,"HDAC6, HSP90AB1, HSPA8, HTT"
194,TUBB3,3,4,"HDAC6, HSP90AB1, HSPA8, HTT"
60,CCDC88A,7,3,"HSP90AA1, HSP90AB1, HSPA8"
64,NOTCH1,12,3,"PRKACA, PRKACB, PRKACG"
87,KIF5C,1,3,"YWHAE, YWHAG, YWHAQ"
112,KLC3,2,3,"YWHAE, YWHAG, YWHAQ"
150,DDX6,3,3,"YWHAE, YWHAG, YWHAQ"
152,NOTO,0,3,"PRKACA, PRKACB, PRKACG"
159,EEF1A1,5,3,"HSP90AA1, HSP90AB1, HSPA8"
162,KIFAP3,0,3,"YWHAE, YWHAG, YWHAQ"
168,CKAP5,4,3,"HSP90AA1, HSP90AB1, HSPA8"
169,KIF5B,6,3,"YWHAE, YWHAG, YWHAQ"
185,CCDC33,2,3,"HSP90AA1, HSP90AB1, HSPA8"
191,KIF5A,3,3,"YWHAE, YWHAG, YWHAQ"
144,NDE1,2,2,"YWHAG, YWHAQ"
72,HYDIN,0,1,HAP1
0,DZANK1,0,0,
2,GNAT2,1,0,
4,IFT172,1,0,
5,DCDC2,1,0,
6,DNAI2,1,0,
8,CEP63,1,0,
9,SHH,0,0,
11,GLI1,7,0,
12,SCLT1,0,0,
14,GNAT1,0,0,
16,IFT27,0,0,
17,DNAH12,0,0,
18,TP53BP1,3,0,
20,EML1,0,0,
21,GLI3,2,0,
22,MKS1,1,0,
23,CATSPERD,0,0,
24,RP1,0,0,
25,KATNAL2,0,0,
26,SUFU,1,0,
27,PROM1,1,0,
30,BBS1,1,0,
31,GPR157,0,0,
32,IQUB,0,0,
33,PLA2G3,0,0,
34,ARF4,4,0,
37,PPID,4,0,
38,CYFIP2,2,0,
40,STX3,0,0,
41,SSTR3,0,0,
42,FAIM,0,0,
45,OSBPL6,2,0,
47,MYRIP,0,0,
48,ADCY5,0,0,
50,TRAPPC9,2,0,
52,AHI1,2,0,
55,DDAH1,0,0,
56,MYB,1,0,
57,WDR47,0,0,
58,LRBA,3,0,
61,HMGB2,6,0,
62,MYOC,0,0,
63,RAB17,0,0,
66,DVL1,6,0,
67,NIN,5,0,
68,SPAG6,1,0,
69,NME8,1,0,
70,STK36,1,0,
71,TULP1,0,0,
73,ADCY6,0,0,
75,RHO,0,0,
76,MAP4,6,0,
77,ARHGAP35,1,0,
78,RAB23,0,0,
80,DRD1,1,0,
81,DYNLT1,2,0,
83,RPGRIP1L,0,0,
85,ARL3,3,0,
86,EXOC4,1,0,
88,SSNA1,0,0,
89,RFX4,0,0,
90,MAP6,0,0,
92,TRIP11,2,0,
93,NGFR,4,0,
94,PTCH1,1,0,
95,DNAH14,1,0,
96,DRD2,1,0,
98,TRIM32,5,0,
99,USH2A,0,0,
100,AGBL4,1,0,
101,MAP1B,4,0,
102,IFT20,1,0,
104,ULK4,3,0,
105,RAPGEF2,4,0,
106,RAB8A,1,0,
107,SNAP25,1,0,
108,ENAH,1,0,
109,PDZD7,0,0,
110,TRPV4,0,0,
113,TTC21B,0,0,
114,GLI2,1,0,
115,PEX6,0,0,
116,SMO,0,0,
118,FLNA,7,0,
119,IFT88,0,0,
120,MAGI2,1,0,
121,ARFGEF2,1,0,
122,BBS4,0,0,
123,NPHP4,3,0,
124,IQCK,0,0,
125,WDPCP,0,0,
126,ATAT1,2,0,
127,NINL,2,0,
128,CNGB1,0,0,
131,ADCY10,0,0,
132,CATSPER1,0,0,
134,DNM2,9,0,
135,DLG5,7,0,
136,RAB10,3,0,
137,EFHC2,1,0,
139,MAL,0,0,
140,SYNE1,0,0,
142,CATSPERB,0,0,
143,NAPEPLD,0,0,
145,PKHD1,0,0,
147,USH1C,0,0,
148,ASAP1,0,0,
149,SHANK2,2,0,
153,DMD,1,0,
155,RNF38,0,0,
156,DISC1,3,0,
157,MARK4,6,0,
160,ATP8A2,0,0,
161,GMNC,0,0,
163,MAP1A,1,0,
164,MYO7A,1,0,
166,EHD1,1,0,
170,TTLL1,0,0,
171,MYO15A,1,0,
173,TCTN1,1,0,
174,SDCCAG8,0,0,
175,TTC8,0,0,
176,RPGRIP1,0,0,
177,CEP57,5,0,
