Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
YWHAG,GO:0005515,PMID:26496610,IPI,UniProtKB:Q02241,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:26638075,IPI,UniProtKB:Q9HC77,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:27030597,IPI,UniProtKB:O15553,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20210210,UniProt,,,
YWHAG,GO:0005515,PMID:27880917,IPI,UniProtKB:P26045,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28202711,IPI,UniProtKB:Q5S007,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28330616,IPI,UniProtKB:P26045,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:O43491,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:O43896,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:O75494,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P00519,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P04049,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P22681,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P26045,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P27348,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P27448,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P28290,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P30305,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P31629,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P31946,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P31947,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P56524,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:P62258,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q02241,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q0VF96,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q6UUV7,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q7KZI7,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q92934,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q96GE4,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q96GV9,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q96PU5,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
YWHAG,GO:0005515,PMID:28514442,IPI,UniProtKB:Q99759,F,14-3-3 protein gamma,,protein,NCBITaxon:9606,20240406,IntAct,,,
