Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
Hsp90ab1,GO:0019900,RGD:1624291,ISO,MGI:96247,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20141119,RGD,,,
Hsp90ab1,GO:0019900,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20141119,RGD,,,
Hsp90ab1,GO:0019901,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0019901,RGD:1624291,ISO,MGI:96247,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20180226,RGD,,,
Hsp90ab1,GO:0030511,GO_REF:0000024|RGD:1600115,ISS,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170224,UniProt,,,
Hsp90ab1,GO:0030511,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0030511,RGD:1624291,ISO,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161013,RGD,,,
Hsp90ab1,GO:0031072,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0031072,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161014,RGD,,,
Hsp90ab1,GO:0031396,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
